year,country,region,january,february,march,april,may,june,july,august,september,october,november,december
05,otros_africa,africa,100,90,99,106,95,70,91,126,88,86,125,88
05,belice,america_central,74,36,48,35,53,68,93,69,45,38,43,57
05,el_salvador,america_central,3915,2605,4017,3151,3381,3208,4143,4903,3364,3423,3670,5093
05,guatemala,america_central,3041,2514,3094,2851,3088,4261,3085,3053,2994,2554,3260,3976
05,honduras,america_central,3004,1637,2191,2267,1804,2295,2497,2392,2039,2585,2342,2666
05,nicaragua,america_central,41208,17106,19461,15912,15630,16634,18832,16508,15754,16024,15578,23065
05,panama,america_central,8098,6472,5660,4243,5154,5126,6029,7164,6488,5639,5859,6798
05,canada,america_del_norte,14740,14261,13224,7184,3973,3017,4192,3455,2090,3111,6003,11656
14,china,asia,452,550,811,629,631,582,610,563,550,547,685,785
05,mexico,america_del_norte,3155,3772,4939,3365,3769,3976,6973,4414,3440,3321,3700,5506
05,argentina,america_del_sur,1704,1423,1155,1244,1300,1188,1614,1112,1051,1225,1255,1351
05,bolivia,america_del_sur,188,165,169,199,249,178,250,191,159,249,160,209
05,brasil,america_del_sur,687,638,557,668,694,646,986,738,666,765,765,797
05,chile,america_del_sur,666,793,549,468,475,441,841,593,621,599,518,475
05,colombia,america_del_sur,2913,2045,2299,1996,2208,2374,2689,2280,2027,1968,1948,2383
05,ecuador,america_del_sur,401,323,416,443,407,361,563,533,355,291,354,378
05,paraguay,america_del_sur,44,45,36,34,35,22,48,59,28,41,32,40
05,peru,america_del_sur,577,604,499,495,524,430,761,538,524,437,483,447
05,uruguay,america_del_sur,147,145,159,136,154,169,182,133,155,172,120,128
05,venezuela,america_del_sur,1140,969,1224,1043,1254,1253,1406,1440,1178,1101,1036,1178
15,china,asia,606,591,885,922,763,600,711,779,805,739,990,1161
16,china,asia,878,1049,1338,1019,1032,1124,1037,908,988,1064,1114,1248
05,corea_sur_norte,asia,228,175,302,167,254,256,352,267,587,158,207,285
05,israel,asia,685,679,585,768,527,520,741,828,835,1355,548,791
05,japon,asia,439,559,562,639,456,379,533,596,422,377,446,648
14,otros_africa,africa,115,90,237,171,122,81,59,217,73,93,85,174
05,cuba,caribe,426,269,345,408,360,401,472,330,324,319,372,369
05,jamaica,caribe,64,78,91,57,92,81,98,117,69,81,50,84
15,otros_africa,africa,139,115,121,158,124,138,88,166,82,94,115,148
17,china,asia,938,1178,1632,1009,,,,,,,,
