Name,Label,Question
economy,Economy,
economycode,Economy Code,
regionwb,"Region, WB",
pop_adult,"Population 15+, 2016, WDI",
wpid_random,Gallup World Poll identifier,
wgt,Weight,
female,Respondent is female,
age,Respondent age,
educ,Respondent education level,
inc_q,Within-economy household income quintile,
emp_in,Respondent is in the workforce,
fin2,Has a debit card,"A/An [local terminology for ATM/debit card] is a card connected to an account at a financial institution that allows you to withdraw money, and the money is taken out of THAT ACCOUNT right away. Do you, personally, have a/an [local terminology for ATM/debit card]? Yes or no?"
fin3,If has debit card: card in own name,Is this [local terminology for ATM/debit card] connected to an account with your name on it?
fin4,If has debit card: used card in past 12 months,"In the PAST 12 MONTHS, have you used your OWN [local terminology for ATM/debit card] DIRECTLY to make a purchase?"
fin5,Used mobile phone or internet to access FI account,"In the PAST 12 MONTHS, did you ever use a MOBILE PHONE or the Internet to make a payment, to buy something, or to send money FROM your account at a bank or another type of financial institution?"
fin6,Used mobile phone or internet to check account balance,"In the PAST 12 MONTHS, have you checked your account balance using a mobile phone or the Internet?"
fin7,Has a credit card,"A credit card is a card that allows you to BORROW money in order to make payments or buy things, and you can pay the balance off later. Do you, personally, have a credit card?"
fin8,If has credit card: used card in past 12 months,"In the PAST 12 MONTHS, have you, personally, used your credit card?"
fin9,If has account: any deposit into account in past 12 months,"In the PAST 12 MONTHS, has money ever been DEPOSITED into your personal account(s)? This includes cash or electronic deposits, or any time money is put into your account(s) by yourself, an employer, or another person or institution."
fin10,If has account: any withdrawal from account in past 12 months,"In the PAST 12 MONTHS, has money ever been TAKEN OUT of your personal account(s)? This includes cash withdrawals you make in person, using your [local terminology for ATM/debit card] or mobile phone, electronic payments or purchases, checks, or any other time money is removed from your account(s) by yourself or by another person or institution."
fin11a,If does not have account: b/c too far away,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - FIN11A.Because financial institutions are too far away"
fin11b,If does not have account: b/c too expensive,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - Because financial services are too expensive"
fin11c,If does not have account: b/c lack documentation,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - Because you don’t have the necessary documentation (identity card, wage slip, etc.)"
fin11d,If does not have account: b/c lack trust,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - Because you don’t trust financial institutions"
fin11e,If does not have account: b/c religious reasons,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - Because of religious reasons"
fin11f,If does not have account: b/c lack of money,"UNBANKED SECTION Please tell me whether each of the following is A REASON why you, personally, DO NOT have an account at a bank or another type of formal financial institution. Is it ___________ ? (Randomly rotate FIN11A-FIN11H) - Because you don’t have enough money to use financial institutions"
